code,title,prereq,antireq,term,ID,description
NE140,Linear Circuits,Level at least 1B Nanotechnology Engineering.,"BME 392, ECE 140, 240, GENE 123, MTE 120, SYDE 292",W,015631,"Charge, current and voltage. Resistance, Ohm's Law, Kirchhoff's voltage and current laws. Nodal, mesh analysis and source transformation. Superposition, Thévenin and Norton equivalents. Capacitance, inductance, electrical energy dissipation and first-order transient response circuits. Phasors, impedances and alternating current (AC) steady state analysis. Signals, amplifier concepts and nonlinear circuit analysis. Diodes circuit applications. Ideal operational amplifier circuits. Frequency filter types and active filter circuits' configuration."
NE201,Nanotoxicology; Nanotechnology Engineering Practice,2A Nanotechnology Engineering,,,011917,"Nanotoxicology, including inhalation and dermal exposure effects; translocation, cytotoxicity, mutagenicity, and neurotoxicity; carbon nanotubes as cancer hazards. Areas of research and professional practice in nanotechnology engineering; exposure to concepts from other engineering plans; support material for the 2A academic term, including aspects of co-operative education and professional or career development.  "
NE202,Nanomaterials and Environmental Impact; Nanotechnology Engineering Practice,Level at least 2B Nanotechnology Engineering,,,011918,"Environmental fate and behaviour, bio-availability, consumer exposure, environmental exposure-assessment, aquatic toxicology, bio-accumulation and biomagnification. Areas of research and professional practice in nanotechnology engineering; exposure to concepts from other engineering plans; support material for the 2B academic term, including aspects of co-operative education and professional or career development. "
NE215,Probability and Statistics,"MATH 119, NE 112; Level at least 2A Nanotechnology Engineering.","CHE 220, CIVE 224, ME 202, STAT 202, 206, 220, 230, SYDE 213",F,011926,"Elementary probability theory. Random variables and distributions. Binomial, Poisson, and normal distributions. Elementary sampling. Statistical estimation. Tests of hypotheses and significance. Regression. Goodness-of-fit tests."
NE216,Advanced Calculus and Numerical Methods 1,Level at least 2A Nanotechnology Engineering,"AMATH 350, MATH 218, 228",F,013158,"Ordinary differential equations with constant coefficients. Boundary value problems and applications to quantum mechanics. Laplace and Fourier transforms, Fourier series and applications. Numerical solution of ordinary differential equations."
NE217,Advanced Calculus and Numerical Methods 2,Level at least 2B Nanotechnology Engineering,,S,013160,"Gradient, Divergence and Curl: Applications. Line and Surface Integrals. Green's, Gauss', and Stokes' Theorems: Applications to electromagnetism and fluid mechanics. Numerical solution of partial differential equations."
NE220L,Materials Science and Engineering Laboratory,NE 125; 2A Nanotechnology Engineering,,F,012582,"Labs following the NE 125 Introduction to Materials Science and Engineering course. This laboratory course introduces students to techniques for the characterization of various materials, such as metals, polymers, ceramics, and composites. Experimental exercises will study the physical properties and characteristics of materials, including mechanical, thermal, electrical, and structural/morphological properties at different length scales."
NE222,Organic Chemistry for Nanotechnology Engineers,Level at least 2A Nanotechnology Engineering.,"(CHEM 262 and 262L), 264, (CHEM 266 and 266L)",F,012237,"Nomenclature, stereochemistry and reactions of important classes of organic compounds. Reaction mechanisms and energetics. Aromaticity and simple molecular orbital theory of conjugated systems. Applications to nanomaterials and/or devices."
NE224,Biochemistry for Nanotechnology Engineers,Level at least 2B Nanotechnology Engineering.,"CHEM 233, 237",S,011933,"An introduction to the chemistry of amino acids, carbohydrates, lipids and nucleic acids. Structure and properties of proteins and enzymes. An introduction to cell biochemistry. Applications to nanobiotechnology."
NE225,Structure and Properties of Nanomaterials,Level at least 2B Nanotechnology Engineering,,S,012239,"Electronic orbitals in atoms, molecules and the solid state. Structures and properties of covalent and ionic solid nanoparticles including their catalytic, electrochemical, electrical, optical and magnetic properties. Semiconductors and carbon/silicon-based nanoparticles. Examples discussed include carbon nanoparticles, dendrimers, micelles and quantum dots."
NE226,Characterization of Materials,Level at least 2B Nanotechnology Engineering,,S,011934,Materials structure analysis. Materials composition and chemical bonding analysis. In-situ analysis and monitoring of fabrication process parameters. Materials properties characterization.
NE226L,Laboratory Characterization Methods,2B Nanotechnology Engineering.,,S,014070,"This laboratory course introduces students to six materials characterization techniques employed routinely by nanotechnology engineers in their practices. Specifically, the six techniques are: Fourier-Transform Infrared (FTIR), Raman light-scattering, and ultra-violet and visible (UV-Vis) spectroscopies, ellipsometry, X-ray diffraction (XRD), and scanning electron microscopy (SEM). This course is intended to familiarize students with the instrumentation involved, prior to its application to nanomaterials in a follow-up laboratory course, NE 320L."
NE241,Electromagnetism,Level at least 2A Nanotechnology Engineering.,"ECE 106, GENE 123, MTE 120, SYDE 283",F,011931,"Coulomb's law, electric field and electric flux, Gauss's law, electric potential, potential and field, magnetic field, Ampere's law, solenoid, electromagnetic induction, magnetic flux, Lenz' law, Faraday's law, capacitors and capacitance, inductors and inductance, Maxwell's equations, electromagnetic fields and waves, polarization."
NE242,Semiconductor Physics and Devices,Level at least 2B Nanotechnology Engineering. ,ECE 331,S,011937,"Introduction to the physical principles and electrical behavior of semiconductor materials and devices: electronic band structure, charge carriers, doping, carrier transport, pn-junctions, metal-oxide-semiconductor capacitors, transistors, and related optoelectronic devices (photodetectors, light emitting diodes, solar cells)."
NE250,Work-term Report 1,Level at least 2B Nanotechnology Engineering.,"MSCI 391, WKRPT 200, 201",S,015209,"An engineering report based upon a technical project, activity, or analysis carried out by the student, normally during work-term employment following the 2A academic term. Evaluation is based upon a level of written communication, technical proficiency, and engineering analysis appropriate to a second-year engineering student."
NE301,"Nanomaterials and Human Risks, Benefits; Nanotechnology Engineering Practice",Level at least 3A Nanotechnology Engineering,,,011919,"Detoxification and bioactivation pathways; surface modification; biopersistence; quantum dots and cellular imagining; biomedical applications of nanomaterials. Areas of research and professional practice in nanotechnology engineering; exposure to concepts from other engineering plans; support material for the 3A academic term, including aspects of co-operative education and professional or career development.  "
NE302,Nanotechnology Engineering Practice,Level at least 3B Nanotechnology Engineering,,F,011920,"Areas of research and professional practice in nanotechnology engineering; exposure to concepts from other engineering plans; support material for the 3B academic term, including aspects of co-operative education and professional or career development."
NE307,Introduction to Nanosystems Design,3B Nanotechnology Engineering,,F,011963,"Introduction to the engineering design process: problem definition and needs analysis; process synthesis, analysis, optimization and troubleshooting; safety and environmental protection in design; written and oral communication for design reports. Students form four-person design teams and start a team-oriented project based on the knowledge and skills acquired in previous courses and on co-operative work terms, culminating in a design proposal presentation."
NE318,Continuum Mechanics for Nanotechnology Engineering,"NE 216, 217; 3A Nanotechnology Engineering",,S,011938,"Scaling analysis of differential equations. Tensor operations and tensor calculus. Kinematics of a continuum: material and spatial frames, strain and displacement, conservation of mass. Stress, conservation of momentum and energy. Linear elastic solids: Hooke's Law, infinitesimal elasticity theory and the Navier-Cauchy equation. Newtonian viscous fluids: hydrostatics, Navier-Stokes equations, flow regimes, and the Reynolds number. Engineering applications: plane elastic waves and vibrations, buoyancy forces, Couette, Poiseuille, and Stokes flows."
NE320L,Characterization of Materials Laboratory,NE 226; 3A Nanotechnology Engineering,,S,012874,"Follow-up labs associated with the NE 226 (Characterization of Materials) course. The laboratory exercises focus upon the synthesis and characterization of nano-based materials. Specifically, the synthesis of carbon nanotubes, quantum dots, magnetic ceramics, or other common nanomaterials will be investigated, and sample preparations for various characterization tools will be carried out. Characterization techniques such as infrared and Raman spectroscopy, x-ray diffraction, scanning electron microscope (SEM), and magnetic inductive heating will be utilized."
NE330L,Macromolecular Science Laboratory,NE 333; 3B Nanotechnology Engineering.,CHEM 471L,F,013323,"Labs associated with NE 333 (Macromolecular Science 1) course. Lab exercises exploring the kinetics of radical co-polymerization, the analysis of copolymer composition, concepts in the determination and control of polymer molecular weight distribution, and the kinetics and particle size development in emulsion polymerization."
NE332,Quantum Mechanics,Level at least 3A Nanotechnology Engineering.,"CHEM 356, ECE 405, PHYS 233, 234","S, first offered Spring 2022",011935,"Historical background; the differential equation approach to quantum mechanics; treatments of solvable problems such as the particle-in-a-box, harmonic oscillator, rigid rotor, and the hydrogen atom; introduction to approximation methods for more complex systems; application to solid state problems, including band theory."
NE333,Macromolecular Science,NE 225; 3A Nanotechnology Engineering.,"CHE 541, CHEM 370, MNS 322",S,011936,"Basic definitions and polymer nomenclature, molecular weight averages and distributions, constitutional and configurational isomerism, rubber elasticity, step-growth and free-radical chain-growth polymerizations, emulsion polymerization."
NE334,Statistical Thermodynamics,Level at least 3B Nanotechnology Engineering.,"CHEM 400 (Topic: Statistical Mechanics), PHYS 359","F, first fall offering, Fall 2022",011939,"Statistical mechanics vs. thermodynamics. Review of statistical concepts. Canonical and grand canonical ensembles. Entropy. General formulation of statistical thermodynamics. Fermi-Dirac, Bose-Einstein, and Boltzmann statistics. Quantum ideal gases. Specific heat of solids. Electrons in metals and semiconductors. Radiation: the photon gas."
NE335,Soft Nanomaterials,NE 333; Level at least 3B Nanotechnology Engineering.,"CHE 541, CHEM 471",F,011940,"Introduction to the applications of macromolecules in nanotechnology. Block copolymers and self-assembled polymerization. Micelles and colloids.  Dendrimers and molecular brushes.  Supramolecular polymers, polymeric blends and macromolecular nanocomposites.  Polymer templates.  Applications in the manufacturing of nanostructured materials and nanoscale devices."
NE336,Micro and Nanosystem Computer-aided Design,Level at least 3B Nanotechnology Engineering,,F,011941,"Modeling and simulation.  Lumped versus distributed approaches.  Review of differential-equation systems, constitutive relations, boundary conditions, and solvers for complex, coupled transport problems pertinent to micro and nanosystems.  Coupling strategies.  Numerical schemes for nonlinear systems.  Basic modeling and simulation of micro and nanosystems, and fluidic systems.  Relevant nanotechnology applications:  optical, thermal, mechanical, and fluidic microstructures, and nanoscale devices."
NE340L,Microfabrication and Thin-film Technology Laboratory,NE 343; 3B Nanotechnology Engineering,,F,012875,Labs associated with the NE 343 (Microfabrication and Thin-film Technology) course.  Lab topics may include: thin film deposition by PECVD and PVD (sputtering); photolithography; dry and wet etching; and C-V and I-V analysis of MIS structures.
NE343,Microfabrication and Thin-film Technology,"NE 121, 125, 242; 3A Nanotechnology Engineering.",ECE 433,S,011942,"Key processes for electronic device fabrication.  Single crystal growth.  Substrate preparation.  Homoepitaxy, heteroepitaxy, and molecular-beam epitaxy.  Ion implantation.  Oxidation and diffusion.  Physical and chemical vapor deposition.  Sputtering and evaporation.  Etching.  Micromachining.  Spin coating and printing.  Photolithography.  Effects of device scaling on chip performance.  Process integration.  Yield and reliability."
NE344,Electronic Circuits,Level at least 3B Nanotechnology Engineering.,"ECE 240, 242, 340, SYDE 292",F,011943,"Metal-oxide-semiconductor field-effect transistor (MOSFET), circuit biasing and load-line analysis. Small-signal equivalent circuits and single stage amplifier configurations. Differential and multistage MOSFET amplifiers. The cascode configuration, current mirror and active loads. Feedback circuit configurations and stability. Oscillators, waveform shaping circuits and delay analysis. Introduction to digital circuits, the transistor switch, inverter circuits and complementary metal-oxide-semiconductor (CMOS) logic circuits."
NE345,Photonic Materials and Devices,Level at least 3B Nanotechnology Engineering,,F,011944,"Wave nature of light, refractive index and dispersion, group velocity, irradiance and Poynting vector, Snell's law, Fresnel's Equation, antireflection coatings, absorption of light, temporal and spatial coherence, dielectric waveguides and optical fibers, planar waveguides, dispersion in waveguides; light emitting diodes (LED), pn junction, LED materials, stimulated emission, lasers, photodetectors, photovoltaic devices, solar cells."
NE350,Work-term Report 2,Level at least 3B Nanotechnology Engineering.,"MSCI 392, WKRPT 300, 301",F,015210,"An engineering report based upon a technical project, activity, or analysis carried out by the student, normally during work-term employment following the 2B academic term. Evaluation is based upon a level of written communication, technical proficiency, and engineering analysis appropriate to a third-year engineering student."
NE352,Surfaces and Interfaces,Level at least 3B Nanotechnology Engineering.,CHEM 400 (Topic: Surface Science and Nanotechnology),F,011945,"Surfaces and interfaces in microelectronics and nanofabrication. Physicochemistry of interfaces. Capillary phenomena and molecular self-assembly. Structure and properties of clean and adsorbate covered surfaces (metals, semiconductors, oxides). Reactions at surfaces and catalysis. Surface electrochemistry, growth and diffusion, nanoscale structure formation/surface patterning, biological interfaces."
NE353,Nanoprobing and Lithography,NE 343; Level at least 3B Nanotechnology Engineering,,F,011946,"Theory and application of nanoprobing based on scanning probe microscopy (scanning tunneling microscopy, atomic force microscopy, scanning near-field optical microscopy).  Nanolithographic techniques (extreme-UV lithography, X-ray lithography, e-beam lithography, focused ion beam lithography, nano-imprint lithography and soft lithography)."
NE381,Introduction to Nanoscale Biosystems,Level at least 3B Nanotechnology Engineering,,F,015220,"Specific aspects of biosystems required for the engineering of nanobiotechnological applications: topics to be covered may include surface and bulk science concepts needed for the development of lab-on-chip systems and those aspects of molecular biology of the cell necessary for application to medical diagnostics. Elements of design required for the development of modern instrumentation may also be covered, thereby providing a solid foundation for more advanced topics and applications."
NE408,Nanosystems Design Project,NE 307; 4A Nanotechnology Engineering,,F,011964,"Design work for the project proposed in NE 307, culminating in a progress report presentation."
NE409,Nanosystems Design Project and Symposium,NE 408; 4B Nanotechnology Engineering,,W,011965,"Completion and presentation of the design project from NE 307 and NE 408. Teams communicate their design in the form of a final report, a poster, and a seminar presentation."
NE450,Work-term Report 3,Level at least 4B Nanotechnology Engineering.,"MSCI 491, WKRPT 400, 401",W,015211,"An engineering report based upon a technical project, activity, or analysis carried out by the student, normally during work-term employment following the 3B academic term. Evaluation is based upon a level of written communication, technical proficiency, and engineering analysis appropriate to a fourth-year engineering student."
NE451,Simulation Methods,Level at least 3B Nanotechnology Engineering,,F,014071,"This course provides an introduction to and an overview of computational methods that are currently employed for the simulation of structural and bulk properties of matter, particularly as applied to physical and biological systems at the nanometer scale.  Topics to be covered in this course include energy functions and force fields, geometry optimization, normal mode analysis, and reaction--path techniques at the molecular level, and an introduction to the simulation of static and dynamic properties of substances via both Monte Carlo and molecular dynamics (MD) methodologies."
NE452,Special Topics in Nanoscale Simulations,NE 451; 4B Nanotechnology Engineering,,W,014072,"Topics in this theme area may include: an overview of modern computational methods and algorithms in nanoscale materials, such as steered molecular dynamics, ab initio molecular dynamics, multiscale modelling, dissipative particle dynamics, transition path sampling, phase-field modelling, quantum simulations using Feynman path integral techniques, condensed-phase spectroscopy, linking of simulations to experiment, simulations and their practical applications."
NE453,Special Topics in Nanotechnology Engineering,Nanotechnology Engineering,,"F,W",015391,Special topics that significantly span two (or more) areas of concentration in or that provide methodologies relevant to nanotechnology engineering will be offered from time to time when resources are available.
NE454A,Nano-electronics Laboratory 1,4A Nanotechnology Engineering,,F,015212,"Application of experimental tools and techniques in nano-electronics. Experimental exercises may involve circuit simulation and design, circuit prototyping, design of a driver circuit for a quartz crystal microbalance (QCM), printed circuit board (PCB) design and layout optimization, and the use of various characterization instrumentation."
NE454B,Nano-instrumentation Laboratory 1,4A Nanotechnology Engineering,,F,015213,"Application of experimental tools and techniques involved in nanotechnology.  Experimental exercises may involve simulation, design, optimization of micro-electro-mechanical-system (MEMS) devices, and the generation of a mask layout."
NE454C,Nanobiosystems Laboratory 1,4A Nanotechnology Engineering,,F,015214,"Application of experimental tools and techniques in nanobiotechnology.  Experimental exercises may involve simulation and design, optimization, nanoparticle formulation reactions, microfluidics, and the use of various characterization instrumentation."
NE454D,Nanostructured Materials Laboratory 1,4A Nanotechnology Engineering,,F,015215,"Application of experimental tools and techniques in nanomaterials. Experimental exercises may involve design, use of image analysis software, optimization, electrodeposition, encapsulation and templating, synthetic chemistry protocols, and the use of selected characterization instrumentation."
NE455A,Nano-electronics Laboratory 2,NE 454A; 4B Nanotechnology Engineering,,W,015216,"Application of experimental tools and techniques in nano-electronics. Experimental exercises to complete the design cycle involve printed circuit board (PCB) assembly and soldering, measurement of the formation of a nonanethiol self- assembled monolayer, determination of the partition coefficient for a solvent vapour into a monolayer-protected-cluster film deposited on a quartz crystal microbalance (QCM), and the use of various characterization methods. These exercises also stress the safe handling of chemicals in the process."
NE455B,Nano-instrumentation Laboratory 2,NE 454B; 4B Nanotechnology Engineering,,W,015217,"Application of experimental tools and techniques employed in nanotechnology. Experimental exercises may involve microfabrication (photolithography, film deposition, and etching) and testing of micro-electro-mechanical-system (MEMS) devices based on the design from NE 454B. These exercises also stress working safely in a clean-room environment."
NE455C,Nanobiosystems Laboratory 2,NE 454C; 4B Nanotechnology Engineering,,W,015218,"Application of experimental tools and techniques employed in Nanobiotechnology. Experimental exercises may involve investigation of microbial culture protocols, biosensor applications, and the use of various characterization techniques. These exercises also stress the need for safe handling of micro-organisms and biomaterials."
NE455D,Nanostructured Materials Laboratory 2,NE 454D; 4B Nanotechnology Engineering,,W,015219,Application of experimental tools and techniques employed in nanomaterials. Experimental exercises may investigate and design the production and performance of electronic double layer capacitors (EDLC) for battery applications through the use of dispersion and mixing protocols to prepare carbon materials. Performance of the materials may be quantified using defined testing methods for measurement of electrical storage metrics. The exercise also stresses safe handling of nanomaterials.
NE459,Nanotechnology Engineering Research Project,4B Nanotechnology Engineering,,W,012240,"A nanotechnology engineering research project that requires students to demonstrate initiative and to assume responsibility. Students will select projects at the end of the 4A term. Although students may propose their own projects, a faculty member will provide supervision. A project report is required at the end of the 4B term."
NE461,Micro and Nano-instrumentation,"NE 352, 353; 4A Nanotechnology Engineering",,F,011947,"Fabrication technology for development of micro and nanosensors, actuators, and modules (e.g., micro or, nano-electromechanical systems, micro or nanofluidics channels). Integration using examples drawn from chemical analysis micro and nano-instrumentation. An overview of current micro and nano-instrumentation."
NE466,Tactile Sensors and Transducers,Level at least 3B Biomedical Engineering or Electrical Engineering or Nanotechnology Engineering.,NE 469 (Topic: Tactile Sensors),W,016012,"Tactile sensors, wearable sensors and applications. Principles of transduction including capacitive, piezoelectric, piezoresistive, percolation, and tunneling-based sensing. Designing bendable and stretchable sensors, and self-powered sensors. Applications including robotics, electronic skin, biometrics, and bio-vitals."
NE471,Nano-electronics,4A Nanotechnology Engineering,,F,011951,Transport phenomena.  Quantum confinement.  Single molecule transistors. Resonant tunnelling devices. Large area and mechanically flexible electronics. Deposition and patterning techniques.
NE476,Organic Electronics,Level at least 3B Electrical Engineering or Nanotechnology Engineering.,NE 479 (Topic: Organic Electronics); NE 499 (Topic: Materials 4 Printed Electronics),W,016013,"Electronic structure of conjugated molecules. Photophysics of organic molecules, singlet and triplet states, the transition moment, radiative and non-radiative transitions. Excited state kinetics. Excitonic processes in organic solids, Forster and Dexter transfer, quenching processes. Electronic conduction in organic solids, band and hopping transport, morphological disorder and traps. Introduction to the main types of organic electronic devices, such as light-emitting devices, solar cells, field-effect transistors, photodetectors and imaging devices. Aspects of device design and fabrication technology."
NE481,Nanomedicine and Nanobiotechnology,NE 381; 4A Nanotechnology Engineering,,F,011955,"Overview of biomedical engineering principles, and their utilization in understanding how our bodies interact with nano- and biomaterials: topics related to innate and acquired inflammatory response, cellular and humoral immunity, complement systems and thrombosis, biocompatibility, and toxicity will be covered. Route of administered nanoparticles will be introduced. This course will also study the formulation and manufacturing process for producing nanoparticles in the biotechnology and pharmaceutical industries."
NE486,Biosensors,Level at least 3B Biomedical Engineering or Nanotechnology Engineering.,NE 469 (Topic: DNA Biosensors and Nanotechnology),W,016014,"Introduction to biosensors. Chemical, optical, and pattern recognition-based sensing. Sensors for metal ions, small molecules, proteins, cancer cells. Deoxyribonucleic acid/ribonucleic acid (DNA/RNA) properties and chemical synthesis. DNA aptamer-based sensors and devices. Combinatorial selection of functional DNA. Applications in drug screening and diagnostics."
NE487,Microfluidic and Nanobiotechnological Systems,NE 381; Level at least 3B Biomedical Engineering or Nanotechnology Engineering.,NE 479 (Topic: Microfluidic and Nanobiotechnological Systems),W,016015,"Principles and design of lab-on-a-chip (LOC) devices and systems. Bottom up/top-down LOC chip fabrication methods. Adaptive and evolutionary mechanisms in biological systems. Extremophiles. Lateral gene transfer. Plasmids. In-vitro-evolution. Design, manufacture, and use of engineered organisms, aptamers, and deoxyribonucleic acid (DNA) computing. Molecular analysis methods and reagent design. Microfluidic sensor devices and cell-based sensing. Recent advances in nanobiotechnological systems in academia and industry."
NE488,Biomaterials and Biomedical Design,NE 481; Level at least 3B Biomedical Engineering or Chemical Engineering or Nanotechnology Engineering.,BME 489 (Topic: Biocompatibility and Biomaterial Engineering); NE 489 (Topic: Biomaterials and Tissue Engineering),W,016016,"An overview of nanomedicine and nanotechnology-based biomedical devices. Strategies and technologies for designing, testing, and manufacturing biomaterials and tissue-engineering products. Biological and clinical applications. Manufacturing challenges and regulatory procedures for commercialization."
NE491,Nanostructured Materials,"NE 335, 352; 4A Nanotechnology Engineering",,F,011959,Application of inorganic nanostructured materials and nanocomposites. Synthesis and processing techniques for inorganic nanomaterials and the devices that use them. Students will be required to provide critical analyses and seminar presentations of patents utilizing nanomaterials.
NE496,Nanomaterials for Electrochemical Energy Systems,Level at least 3B Nanotechnology Engineering.,"CHE 331, NE 499 (Topic: Nanomaterials and Sustainable Energy)",W,016017,"Nanomaterials in electrochemical energy systems, electrochemical reactions, and cell potentials. Nernst equation. Electrode kinetics and mass transport. Electrochemical reactor design. Fuel cells, electrocatalytic reactions, and hydrogen economy. Rechargeable batteries. Design aspects of energy systems. Applications in hybrid and electric vehicles."
BME101,Communications in Biomedical Engineering-Written and Oral,1A Biomedical Engineering.,SYDE 101,F,014447,"This course introduces first-year students to biomedical engineering with a focus on the engineering profession and technical communication skills. Through in-class and independent activities leading to formative and summative assessments, students will consider and reflect on communication intention, audience, content, medium, format, and tone to demonstrate and improve upon their listening, written and oral communication skills for academic, engineering, and professional context."
BME101L,Communications in Biomedical Engineering-Visualization,1A Biomedical Engineering.,SYDE 101L,F,014448,"This laboratory course introduces students to visual communication methods relevant to engineering analysis and design. Through in-class and independent activities leading to formative and summative assessments, students will consider and reflect on communication intention, audience, content, medium, format, and level of detail to demonstrate and improve upon their skills in graphing, freehand sketching, technical drawing, and computer-aided design (CAD)."
BME102,Seminar,1B Biomedical Engineering,,W,014858,"Biomedical engineering first-year students will meet with a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work, and engineering practice will be discussed. Non-credit course."
BME121,Digital Computation,1A Biomedical Engineering.,SYDE 121,F,014449,"The key skills necessary to develop software solutions to solve biomedical engineering problems. Topics include software development, software design, programming language syntax, object oriented programming, structured programming, arrays, matrices, pointers, and algorithm efficiency. The topics will be reinforced in the context of practical biomedical software systems such as physiological monitoring systems and clinical support systems."
BME122,Data Structures and Algorithms,Level at least 1B Biomedical Engineering.,SYDE 223,W,014452,"Topics of structured software design, data structures, abstract data types, recursive algorithms, algorithm and data structure analysis and design from both computational and memory perspectives, lists, stacks, queues, trees, graphs, sorting and searching, hashing, and problem-solving strategies. Embedded programming in health monitoring systems and healthcare management systems."
BME161,Introduction to Biomedical Design,1A Biomedical Engineering.,SYDE 161,F,014439,"Topics related to biomedical design will be covered: multidisciplinary system design, design process, problem definition, life-cycle design, design specification, function analysis, design evaluation and decision-making, introduction to mechanical design, prototyping, experimentation, safety and responsibility in engineering design, design for society and environment, and design documentation."
BME162,Human Factors in the Design of Biomedical and Health Systems,Level at least 1B Biomedical Engineering.,SYDE 162,W,014440,"Design of human-machine environments, designing for patient safety and reduce human error in decision-making, analytical methods of determining user needs, information processing and human sensory processes and consideration of these elements in the design of systems with humans, and consideration of human physical capabilities in ergonomic design. Topics will be reinforced in the context of the design of prosthetics or rehabilitation devices."
BME181,Physics 1 - Statics,1A Biomedical Engineering.,SYDE 181,F,014453,"Introduction to the basic theory and principles of mechanics of static systems. Topics covered include statics of particles, rigid bodies and force systems, equilibrium of rigid bodies, analysis of joints and frames, distributed forces, centroids and moments of inertia, and friction. Applications of mechanical principles to musculoskeletal systems will be presented."
BME182,Physics 2 - Dynamics,Level at least 2B Biomedical Engineering.,"ME 212, SYDE 182",F,014458,"The science of motion is taught with initial focus on particles, and then progressing to planar rigid body systems. Concepts such as inertia, momentum, work, energy, Newton's laws, and contact dynamics are covered, with particular application to human motions (e.g., walking, running, jumping, lifting, and throwing)."
BME186,Chemistry Principles,Level at least 1B Biomedical Engineering,,W,014432,"The stoichiometry of compounds and chemical reactions. Periodicity and chemical bonding. Energy changes in chemical systems. Electronic structure of atoms and molecules, correlation with the chemical reactivity of common elements, inorganic and organic compounds. Discussion of the structure, nomenclature and reactions of important classes of organic compounds. Stereochemistry and its role in reaction mechanisms."
BME201,Seminar,2A Biomedical Engineering,,F,014859,"Biomedical engineering second-year students will meet with a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work, and engineering practice will be discussed. Non-credit course."
BME202,Seminar,2B Biomedical Engineering,,S,014860,"Biomedical engineering second-year students will meet with a faculty member designated as their class professor. Performance in assignments, conceptual difficulties with courses, interrelation of coursework, later work, and engineering practice will be discussed. Non-credit course."
